# Loaded with 9 hypotheses, 10 rules, 81 data, and 2 nonterminals.
# Allocating memory 
# Setting up MCMC variables
# Starting MCMC
15000 1	-33.8428	-33.8428	0.991718 0.473419 0.121311 0.818216 	1 0.343802 0.0330238 0.138118 0.0895429 0.0944075 0.0281474 0.102647 0.0953689 0.0749425 
15000 2	-33.7392	-35.2396	0.99644 0.669207 0.0762143 2.04899 	1 0.297274 0.0890502 0.138912 0.105144 0.117935 0.0345064 0.0319184 0.145916 0.0393437 
15000 3	-31.7551	-32.613	0.996955 0.724643 0.0285372 0.244021 	1 0.205303 0.126839 0.0665142 0.0882331 0.148994 0.162182 0.0795722 0.0798784 0.0424835 
16000 0	-31.2188	-3820.04	0.99834 0.337987 0.0388155 1.3112 	1 0.234154 0.13956 0.0696026 0.117796 0.12254 0.0975915 0.113924 0.0291247 0.0757084 
16000 1	-31.5894	-31.5894	0.998682 0.308977 0.113392 0.846101 	1 0.343951 0.151635 0.140713 0.0506402 0.0368027 0.112824 0.033722 0.0625067 0.0672053 
16000 2	-32.5713	-32.5713	0.998843 0.666539 0.115043 2.03954 	1 0.319395 0.046593 0.0927304 0.101414 0.136272 0.118443 0.0312467 0.0364628 0.117443 
16000 3	-32.1135	-32.1135	0.998587 0.882256 0.13761 0.363332 	1 0.399398 0.0809944 0.0142456 0.124137 0.100474 0.0836319 0.0477133 0.120115 0.0292911 
17000 0	-36.2597	-36.2597	0.998844 0.46305 0.00307524 1.29256 	1 0.230007 0.152698 0.152576 0.0590168 0.209052 0.0041519 0.102057 0.0312109 0.0592299 
17000 1	-33.087	-33.087	0.997841 0.231459 0.0412963 0.854043 	1 0.228721 0.138366 0.149345 0.0122683 0.0997241 0.0640706 0.178341 0.0989172 0.0302472 
17000 2	-33.6427	-33.6427	0.998947 0.744013 0.058721 2.03146 	1 0.313243 0.0284006 0.0878939 0.0122305 0.112202 0.179643 0.110851 0.0936646 0.0618721 
17000 3	-32.5647	-37.5863	0.995344 0.926439 0.084707 0.313107 	1 0.362414 0.0864692 0.0958401 0.0897951 0.0315877 0.0662179 0.106704 0.0977172 0.0632551 
18000 0	-30.6969	-196.874	0.998327 0.332059 0.0680727 1.39126 	1 0.254878 0.106299 0.0855101 0.0470707 0.121072 0.141309 0.0686952 0.0956572 0.0795079 
18000 1	-31.4609	-31.4609	0.995682 0.318155 0.0441577 0.738867 	1 0.222661 0.0826599 0.0615045 0.115798 0.111219 0.155485 0.0924619 0.123355 0.0348556 
18000 2	-34.0816	-34.0816	0.998733 0.858469 0.0442242 2.0176 	1 0.278135 0.0756801 0.156638 0.113368 0.120889 0.0843915 0.136381 0.00827692 0.0262399 
18000 3	-31.4204	-31.4204	0.998446 0.901105 0.0481686 0.301992 	1 0.274547 0.0982407 0.104179 0.115566 0.153736 0.0896413 0.0153858 0.0749517 0.0737526 
19000 0	-35.3812	-35.3812	0.990921 0.353456 0.0238514 1.19482 	1 0.234223 0.144118 0.143548 0.0981603 0.0308572 0.0380035 0.197441 0.0659584 0.0476912 
19000 1	-31.7282	-35.3812	0.997642 0.361467 0.0328128 0.810926 	1 0.240759 0.064735 0.0295299 0.118209 0.115412 0.151597 0.103944 0.145283 0.0305324 
19000 2	-34.6618	-34.6618	0.998647 0.948292 0.0092973 2.1843 	1 0.309323 0.0865923 0.0560704 0.122853 0.0860323 0.0208594 0.103687 0.0946005 0.119982 
19000 3	-33.9546	-33.9546	0.998309 0.968049 0.0779978 0.245597 	1 0.439246 0.0555454 0.0217456 0.0219347 0.0205613 0.0472048 0.135977 0.0976496 0.160135 
20000 0	-33.9089	-35.1651	0.998259 0.387512 0.0555343 1.3929 	1 0.36139 0.0182397 0.0717649 0.12107 0.124172 0.0103982 0.0389536 0.13826 0.115752 
20000 1	-30.7642	-31.2363	0.998633 0.242259 0.0633978 0.759131 	1 0.28346 0.128003 0.0412099 0.0640889 0.0946165 0.0922907 0.156075 0.0287091 0.111548 
20000 2	-34.4732	-34.4732	0.997926 0.936515 0.0118207 2.2049 	1 0.25436 0.0903897 0.0400579 0.0864842 0.193235 0.0473234 0.0622669 0.134374 0.0915089 
20000 3	-32.5962	-32.5962	0.998461 0.953575 0.0759599 0.306291 	1 0.326501 0.0228991 0.0162392 0.0359319 0.107686 0.136 0.0585723 0.139433 0.156737 
21000 0	-32.7225	-32.7225	0.99666 0.482959 0.0148465 1.5816 	1 0.178563 0.0608105 0.156048 0.053102 0.0912224 0.120261 0.125878 0.116716 0.0973997 
21000 1	-30.0845	-32.7225	0.996651 0.0868218 0.049959 0.698874 	1 0.213058 0.124498 0.106786 0.104529 0.0889183 0.0725551 0.0931032 0.0765845 0.119967 
21000 2	-34.4532	-34.4532	0.998541 0.962776 0.0304765 2.32901 	1 0.245721 0.0337524 0.1633 0.0790919 0.0222823 0.0331339 0.148738 0.100042 0.173938 
21000 3	-34.4695	-34.4532	0.994119 0.979825 0.0192031 0.275337 	1 0.237804 0.0953427 0.0192172 0.142464 0.114124 0.133576 0.0490474 0.0758975 0.132527 
22000 0	-33.2639	-33.2639	0.99744 0.2491 0.0184643 1.67739 	1 0.26342 0.0448163 0.0685883 0.04215 0.0474649 0.164774 0.118908 0.084941 0.164938 
22000 1	-31.1308	-31.1308	0.998997 0.025799 0.035481 0.766161 	1 0.17909 0.118808 0.141214 0.0651788 0.0695807 0.106165 0.143554 0.0739816 0.102429 
22000 2	-35.1468	-35.1468	0.998921 0.969705 0.0124272 2.4936 	1 0.25982 0.0683076 0.185474 0.0192232 0.133021 0.0983007 0.060124 0.138628 0.0371014 
22000 3	-34.6454	-34.6454	0.996594 0.897233 0.0163372 0.14815 	1 0.217431 0.0746775 0.164505 0.13263 0.0423151 0.122881 0.19394 0.0319169 0.0197045 
23000 0	-36.3365	-36.3365	0.992555 0.157443 0.161062 1.63736 	1 0.346741 0.0920602 0.0324832 0.0306924 0.024664 0.142647 0.112234 0.109518 0.108961 
23000 1	-33.1091	-36.3365	0.99864 0.122864 0.00911212 0.827805 	1 0.349187 0.0457688 0.0655944 0.0601243 0.087742 0.143524 0.0532437 0.15844 0.0363751 
23000 2	-34.6146	-34.6146	0.998116 0.98299 0.0192671 2.58395 	1 0.234327 0.10594 0.169757 0.0901411 0.0852289 0.127237 0.0178373 0.10078 0.0687519 
23000 3	-33.162	-33.162	0.995034 0.85865 0.0392227 0.262473 	1 0.215816 0.126433 0.0964425 0.0156315 0.0523979 0.11684 0.137558 0.143606 0.0952746 
24000 0	-31.3881	-31.0832	0.998444 0.316081 0.021512 1.54315 	1 0.187687 0.116461 0.12375 0.0714405 0.109665 0.0671264 0.0639538 0.119472 0.140444 
