"concept"	"list"	"set.number"	"response.number"	"right.answer"	"x"	"n"	"p"	"lower"	"upper"	"p.value"
"hg06"	"L2"	18	4	TRUE	21	21	1	NA	NA	NA
"hg06"	"L2"	18	5	FALSE	2	21	0.0952380952380952	NA	NA	NA
"hg06"	"L2"	19	1	TRUE	19	21	0.904761904761905	NA	NA	NA
"hg06"	"L2"	19	2	TRUE	21	21	1	NA	NA	NA
"hg06"	"L2"	19	3	TRUE	19	21	0.904761904761905	NA	NA	NA
"hg06"	"L2"	20	1	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	20	2	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	20	3	FALSE	2	21	0.0952380952380952	NA	NA	NA
"hg06"	"L2"	20	4	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	20	5	TRUE	19	21	0.904761904761905	NA	NA	NA
"hg06"	"L2"	21	1	FALSE	2	21	0.0952380952380952	NA	NA	NA
"hg06"	"L2"	21	2	FALSE	0	21	0	NA	NA	NA
"hg06"	"L2"	22	1	TRUE	20	21	0.952380952380952	NA	NA	NA
"hg06"	"L2"	23	1	FALSE	2	20	0.1	NA	NA	NA
"hg06"	"L2"	23	2	TRUE	16	19	0.842105263157895	NA	NA	NA
"hg06"	"L2"	23	3	TRUE	15	19	0.789473684210526	NA	NA	NA
"hg06"	"L2"	23	4	TRUE	19	20	0.95	NA	NA	NA
"hg06"	"L2"	24	1	TRUE	20	21	0.952380952380952	NA	NA	NA
"hg06"	"L2"	24	2	FALSE	1	21	0.0476190476190476	NA	NA	NA
"hg06"	"L2"	24	3	TRUE	20	21	0.952380952380952	NA	NA	NA
"hg06"	"L2"	25	1	FALSE	2	21	0.0952380952380952	NA	NA	NA
"hg06"	"L2"	25	2	FALSE	2	20	0.1	NA	NA	NA
"hg06"	"L2"	25	3	TRUE	21	21	1	NA	NA	NA
"hg06"	"L2"	25	4	FALSE	0	21	0	NA	NA	NA
"hg07"	"L2"	1	1	TRUE	6	20	0.3	NA	NA	NA
"hg07"	"L2"	1	2	TRUE	9	20	0.45	NA	NA	NA
"hg07"	"L2"	1	3	TRUE	14	20	0.7	NA	NA	NA
"hg07"	"L2"	1	4	TRUE	4	20	0.2	NA	NA	NA
"hg07"	"L2"	2	1	TRUE	16	20	0.8	NA	NA	NA
"hg07"	"L2"	2	2	FALSE	9	20	0.45	NA	NA	NA
"hg07"	"L2"	3	1	TRUE	18	20	0.9	NA	NA	NA
"hg07"	"L2"	4	1	TRUE	14	20	0.7	NA	NA	NA
"hg07"	"L2"	5	1	TRUE	18	19	0.947368421052632	NA	NA	NA
"hg07"	"L2"	5	2	TRUE	18	20	0.9	NA	NA	NA
"hg07"	"L2"	5	3	TRUE	18	19	0.947368421052632	NA	NA	NA
"hg07"	"L2"	5	4	TRUE	17	19	0.894736842105263	NA	NA	NA
"hg07"	"L2"	5	5	TRUE	16	19	0.842105263157895	NA	NA	NA
"hg07"	"L2"	6	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	6	2	FALSE	4	20	0.2	NA	NA	NA
